epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1097.82,1.147,1.91184,1.27992,1.34053,0.75574,0.70629,0.78203,0.55317,0.75704,0.70869,0.7836,0.53561,1.04706,1.7304,1.00236,1.33206,0.0011884,0.0011884,0.0011884
31,1134.52,1.16822,2.01174,1.35785,1.32933,0.7667,0.68987,0.77105,0.53742,0.77187,0.69425,0.77224,0.51685,1.05949,1.77048,1.01241,1.3133,0.0011719,0.0011719,0.0011719
32,1171.09,1.11002,1.86686,1.21856,1.30062,0.76482,0.74214,0.80146,0.54308,0.79566,0.71807,0.79444,0.53258,1.06579,1.71262,0.96169,1.32294,0.0011554,0.0011554,0.0011554
33,1207.42,1.13944,1.98385,1.27779,1.31537,0.76432,0.75029,0.81119,0.5701,0.7771,0.74859,0.81571,0.55517,1.03097,1.65472,0.96675,1.32256,0.00113889,0.00113889,0.00113889
34,1244.34,1.11564,1.93112,1.25522,1.32869,0.75662,0.72875,0.79488,0.56554,0.77242,0.7178,0.79221,0.54312,1.04678,1.67014,0.93073,1.30777,0.00112239,0.00112239,0.00112239
35,1280.8,1.11291,1.92483,1.24625,1.30383,0.78121,0.74756,0.79583,0.55432,0.78341,0.74974,0.79502,0.52415,1.06276,1.76864,0.97289,1.31287,0.00110589,0.00110589,0.00110589
36,1316.95,1.13401,1.89307,1.24678,1.3118,0.77559,0.73341,0.81352,0.58521,0.78027,0.73779,0.82006,0.56619,0.99592,1.64719,0.90671,1.29154,0.00108938,0.00108938,0.00108938
37,1353.19,1.09048,1.80616,1.174,1.30641,0.79511,0.73047,0.81805,0.59302,0.80585,0.72682,0.81535,0.57583,0.98228,1.60882,0.91703,1.26755,0.00107288,0.00107288,0.00107288
38,1389.43,1.09347,1.88962,1.16462,1.27077,0.7865,0.7674,0.82624,0.59832,0.78299,0.76654,0.82477,0.57376,0.98681,1.65565,0.86784,1.26614,0.00105638,0.00105638,0.00105638
39,1425.73,1.08797,1.85505,1.17263,1.2728,0.75256,0.77582,0.82147,0.58229,0.76127,0.77144,0.82219,0.55682,0.99044,1.64536,0.89543,1.26685,0.00103987,0.00103987,0.00103987
40,1461.7,1.11899,1.90939,1.20804,1.31078,0.79188,0.74601,0.83278,0.60773,0.79345,0.74747,0.83317,0.57779,0.98573,1.62805,0.8577,1.2724,0.00102337,0.00102337,0.00102337
41,1497.92,1.0896,1.82783,1.17634,1.29042,0.76769,0.78797,0.84236,0.61886,0.76723,0.79236,0.84342,0.58615,0.96824,1.56771,0.86757,1.2556,0.00100687,0.00100687,0.00100687
42,1534.4,1.08957,1.86057,1.18467,1.29693,0.8152,0.78755,0.85883,0.63784,0.81756,0.7864,0.85785,0.60385,0.9439,1.55046,0.80618,1.23315,0.000990365,0.000990365,0.000990365
43,1570.91,1.05664,1.78752,1.1186,1.2559,0.82599,0.76479,0.85538,0.62058,0.82795,0.76625,0.85322,0.59312,0.94549,1.61579,0.84708,1.23704,0.000973861,0.000973861,0.000973861
44,1607.08,1.0294,1.792,1.10068,1.23864,0.83558,0.80545,0.87655,0.65909,0.83762,0.80645,0.87761,0.6314,0.89852,1.51455,0.75389,1.19994,0.000957358,0.000957358,0.000957358
45,1643.73,1.0732,1.80221,1.14197,1.27217,0.79957,0.83056,0.88262,0.65144,0.79715,0.8291,0.87944,0.6285,0.92711,1.5191,0.76037,1.22107,0.000940855,0.000940855,0.000940855
46,1680.02,1.05309,1.79225,1.11399,1.25977,0.83877,0.78375,0.88478,0.66336,0.8369,0.78229,0.88182,0.62195,0.90952,1.59185,0.79133,1.21204,0.000924352,0.000924352,0.000924352
47,1716.48,1.02048,1.71005,1.04426,1.23918,0.8588,0.81664,0.89108,0.6687,0.8588,0.81664,0.89138,0.63967,0.9052,1.48515,0.74666,1.20084,0.000907848,0.000907848,0.000907848
48,1755.24,1.03501,1.75457,1.07145,1.241,0.8229,0.83355,0.89928,0.67611,0.81944,0.83541,0.89886,0.64035,0.89052,1.50446,0.74168,1.18929,0.000891345,0.000891345,0.000891345
49,1792.7,1.00301,1.71271,1.01447,1.23613,0.86422,0.81877,0.89247,0.67078,0.86422,0.81877,0.8933,0.64616,0.87197,1.44645,0.72447,1.17855,0.000874842,0.000874842,0.000874842
50,1829.14,1.03984,1.72453,1.06726,1.24552,0.80844,0.83582,0.9041,0.69237,0.80844,0.83582,0.90546,0.65342,0.86807,1.45655,0.7365,1.17913,0.000858338,0.000858338,0.000858338
51,1865.62,1.01374,1.70294,1.05891,1.24065,0.87972,0.80989,0.90577,0.68319,0.88149,0.81135,0.90711,0.64918,0.87936,1.47627,0.71971,1.182,0.000841835,0.000841835,0.000841835
52,1901.86,0.99353,1.74583,1.02778,1.233,0.88578,0.81012,0.91119,0.70039,0.88514,0.8094,0.91152,0.66362,0.83882,1.4314,0.69773,1.15431,0.000825332,0.000825332,0.000825332
53,1938.15,0.99439,1.71244,0.98967,1.2123,0.88245,0.79053,0.90665,0.70507,0.8791,0.78761,0.90367,0.65881,0.8388,1.45232,0.69449,1.15916,0.000808828,0.000808828,0.000808828
54,1974.19,0.98092,1.70018,1.04311,1.23065,0.86064,0.84669,0.92553,0.71469,0.85577,0.86857,0.92605,0.67495,0.82095,1.4274,0.64697,1.15597,0.000792325,0.000792325,0.000792325
55,2010.55,0.99278,1.73425,1.01777,1.22242,0.86717,0.83774,0.91143,0.71025,0.86717,0.83774,0.91075,0.6708,0.8261,1.41444,0.67042,1.14275,0.000775822,0.000775822,0.000775822
56,2046.82,0.96573,1.66609,0.96941,1.21366,0.88339,0.85392,0.927,0.73392,0.88261,0.84925,0.92476,0.68382,0.80113,1.40813,0.62342,1.11806,0.000759318,0.000759318,0.000759318
57,2083.13,0.9783,1.72947,0.97793,1.22129,0.90506,0.82671,0.92198,0.71699,0.9078,0.82332,0.92117,0.67095,0.81811,1.42161,0.65106,1.13115,0.000742815,0.000742815,0.000742815
58,2119.28,0.95891,1.6745,0.9569,1.18488,0.88012,0.85447,0.93272,0.73473,0.88012,0.85447,0.93154,0.69225,0.78327,1.36567,0.6189,1.11862,0.000726312,0.000726312,0.000726312
59,2155.86,0.96189,1.67125,0.97066,1.20143,0.89453,0.85089,0.9215,0.72884,0.90021,0.83983,0.92076,0.68894,0.78923,1.37162,0.635,1.11583,0.000709809,0.000709809,0.000709809
